Jobs updated between 15:00 and 16:00 UTC on Feb 28:
('f49ef9d6c18e4c1fa914e51cd2d67fc2', 'full_scan', 'failed', '2026-02-28 15:09:07.344719')
('08853ba76bc041e8aa0a2c758ef30cdf', 'full_scan', 'failed', '2026-02-28 15:12:23.735007')
('2ea72dce3e424b16b7e7b116488c9ca6', 'intraday', 'completed', '2026-02-28 15:16:19.576188')
('583bfe84d1614192b7e4730db55efb39', 'swing_scan', 'completed', '2026-02-28 15:29:34.059733')
('d5c54d568ff84ef199b474bd2684ffc6', 'swing_scan', 'completed', '2026-02-28 15:32:27.472087')
('5b49d8d517c24705b8b437adf4962bdc', 'swing_scan', 'completed', '2026-02-28 15:38:05.172953')
('d0c76dcce4e24e399d0a170657c96be3', 'intraday', 'failed', '2026-02-28 15:41:55.074792')
('93716dc0e8b94412a9c3886c8c14b5cb', 'swing_scan', 'completed', '2026-02-28 15:46:59.525776')
('67ffedb8195e4b98a37ffbfd1a005bd3', 'swing_scan', 'completed', '2026-02-28 15:53:53.483126')
